quantifier,dataset,sample_size,sampling_seed,iteration,alpha,pred_prev,abs_error,run_time
(REG)Top-14+W,threeOf9,100,317470,3,0.68,0.689034470740093,0.009034470740093004,0.08398039999519824
(REG)Top-14+W,threeOf9,100,589704,4,0.68,0.6955347468899621,0.015534746889962037,0.08784099999684258
(REG)Top-14+W,threeOf9,100,631307,5,0.68,0.6476341019055869,0.03236589809441315,0.08569160000479314
(REG)Top-14+W,threeOf9,100,6411,6,0.68,0.6213980270108629,0.05860197298913716,0.08472969999638735
(REG)Top-14+W,threeOf9,100,447910,7,0.68,0.6656160141588975,0.014383985841102565,0.08422889999201288
(REG)Top-14+W,threeOf9,100,444518,8,0.68,0.6224673718460124,0.05753262815398763,0.08543819999613333
(REG)Top-14+W,threeOf9,100,111547,9,0.68,0.6044920212595268,0.07550797874047321,0.08481659999597468
(REG)Top-14+W,threeOf9,100,11274,10,0.68,0.5907254560572572,0.08927454394274281,0.08407570000781561
(REG)Top-14+W,threeOf9,100,663008,1,0.74,0.6998506375449971,0.04014936245500289,0.0846523999935016
(REG)Top-14+W,threeOf9,100,821004,2,0.74,0.7230605229563463,0.016939477043653728,0.08630700000503566
(REG)Top-14+W,threeOf9,100,856651,3,0.74,0.6490132064549424,0.09098679354505756,0.08688290000281995
(REG)Top-14+W,threeOf9,100,484296,4,0.74,0.6903043494303698,0.04969565056963021,0.08674959998825216
(REG)Top-14+W,threeOf9,100,226168,5,0.74,0.7027428970149701,0.03725710298502993,0.08541269999841461
(REG)Top-14+W,threeOf9,100,447547,6,0.74,0.6916258127951396,0.04837418720486042,0.08475510000425857
(REG)Top-14+W,threeOf9,100,27319,7,0.74,0.6599762081076207,0.08002379189237929,0.08464799999637762
(REG)Top-14+W,threeOf9,100,533397,8,0.74,0.6478306560053699,0.09216934399463006,0.08592819999830681
(REG)Top-14+W,threeOf9,100,975863,9,0.74,0.6809159530709216,0.059084046929078426,0.08601519999501761
(REG)Top-14+W,threeOf9,100,950289,10,0.74,0.7172739792870537,0.02272602071294627,0.08413350000046194
(REG)Top-14+W,threeOf9,100,681564,1,0.79,0.7929342614307481,0.002934261430748042,0.08694580000519636
(REG)Top-14+W,threeOf9,100,234661,2,0.79,0.8262930679536379,0.03629306795363785,0.08971260000180337
(REG)Top-14+W,threeOf9,100,764297,3,0.79,0.8444477753267094,0.05444777532670941,0.08593450000626035
(REG)Top-14+W,threeOf9,100,386324,4,0.79,0.798553943783198,0.00855394378319796,0.0858989000080328
(REG)Top-14+W,threeOf9,100,79968,5,0.79,0.7746825817784118,0.015317418221588275,0.08578420000048936
(REG)Top-14+W,threeOf9,100,627808,6,0.79,0.733856765967536,0.05614323403246402,0.08367409999846132
(REG)Top-14+W,threeOf9,100,220207,7,0.79,0.7361356314779305,0.05386436852206955,0.08456670000305166
(REG)Top-14+W,threeOf9,100,462685,8,0.79,0.8265135238581552,0.036513523858155206,0.08700300000418792
(REG)Top-14+W,threeOf9,100,917890,9,0.79,0.7800234857977355,0.00997651420226453,0.08553410000240547
(REG)Top-14+W,threeOf9,100,874617,10,0.79,0.7436750521722729,0.046324947827727114,0.0870480000085081
(REG)Top-14+W,threeOf9,100,140104,1,0.84,0.8260714680686001,0.013928531931399868,0.08584219999829656
(REG)Top-14+W,threeOf9,100,376709,2,0.84,0.7815260106773408,0.058473989322659126,0.08566939999946044
(REG)Top-14+W,threeOf9,100,754468,3,0.84,0.7980524524766093,0.041947547523390694,0.0867945000063628
(REG)Top-14+W,threeOf9,100,387591,4,0.84,0.812588343647994,0.02741165635200593,0.08665820000169333
(REG)Top-14+W,threeOf9,100,38485,5,0.84,0.8153503882515281,0.02464961174847191,0.08535279999705381
(REG)Top-14+W,threeOf9,100,28448,6,0.84,0.8541422901097918,0.014142290109791844,0.08301670000219019
(REG)Top-14+W,threeOf9,100,850096,7,0.84,0.8649552182400786,0.024955218240078625,0.08563589999539545
(REG)Top-14+W,threeOf9,100,777146,8,0.84,0.7968254766316835,0.04317452336831651,0.08507309999185964
(REG)Top-14+W,threeOf9,100,824046,9,0.84,0.8334591053280448,0.0065408946719551775,0.08380310000211466
(REG)Top-14+W,threeOf9,100,885821,10,0.84,0.7837183442256969,0.05628165577430311,0.08418810000512167
(REG)Top-14+W,threeOf9,100,9021,1,0.89,0.8904440087812967,0.00044400878129668975,0.08744960000331048
(REG)Top-14+W,threeOf9,100,52091,2,0.89,0.8422085528772973,0.04779144712270267,0.08642850000614999
(REG)Top-14+W,threeOf9,100,744069,3,0.89,0.8577351825529392,0.03226481744706078,0.08535629999823868
(REG)Top-14+W,threeOf9,100,202710,4,0.89,0.8752873162319971,0.014712683768002943,0.0859538000113389
