quantifier,dataset,sample_size,sampling_seed,iteration,alpha,pred_prev,abs_error,run_time
(KNN)Top-1,AedesQuinx,100,745,3,0.53,0.4786539826194647,0.05134601738053535,0.2137236000271514
(KNN)Top-1,AedesQuinx,100,246,4,0.53,0.5641802310351468,0.03418023103514678,0.18629230000078678
(KNN)Top-1,AedesQuinx,100,472,5,0.53,0.5414424984169012,0.011442498416901148,0.1854328000335954
(KNN)Top-1,AedesQuinx,100,250,6,0.53,0.6400548309052692,0.11005483090526913,0.20842769998125732
(KNN)Top-1,AedesQuinx,100,316,7,0.53,0.5677232422246556,0.03772324222465562,0.20134759997017682
(KNN)Top-1,AedesQuinx,100,329,8,0.53,0.5827550992070986,0.05275509920709853,0.22567139996681362
(KNN)Top-1,AedesQuinx,100,11,9,0.53,0.4823578238997847,0.04764217610021532,0.12054380000336096
(KNN)Top-1,AedesQuinx,100,79,10,0.53,0.511685384509074,0.018314615490926056,0.19347930001094937
(KNN)Top-1,AedesQuinx,100,790,1,0.58,0.5613412885293797,0.01865871147062026,0.21485809999285266
(KNN)Top-1,AedesQuinx,100,539,2,0.58,0.656573806059675,0.07657380605967501,0.18487840000307187
(KNN)Top-1,AedesQuinx,100,251,3,0.58,0.7413551196869445,0.1613551196869445,0.21274709998397157
(KNN)Top-1,AedesQuinx,100,792,4,0.58,0.5267069315783387,0.05329306842166126,0.1902426999877207
(KNN)Top-1,AedesQuinx,100,237,5,0.58,0.6651672977399025,0.0851672977399025,0.17401580000296235
(KNN)Top-1,AedesQuinx,100,239,6,0.58,0.6424590993272643,0.062459099327264345,0.13134279998485
(KNN)Top-1,AedesQuinx,100,141,7,0.58,0.5671277455280441,0.012872254471955835,0.18145450000884011
(KNN)Top-1,AedesQuinx,100,476,8,0.58,0.5307635162481829,0.049236483751817106,0.19934190000640228
(KNN)Top-1,AedesQuinx,100,753,9,0.58,0.578767000688671,0.0012329993113289195,0.21180360001744702
(KNN)Top-1,AedesQuinx,100,939,10,0.58,0.5619996545711075,0.018000345428892506,0.22384020005119964
(KNN)Top-1,AedesQuinx,100,723,1,0.63,0.6379524645047919,0.007952464504791923,0.1978491999907419
(KNN)Top-1,AedesQuinx,100,383,2,0.63,0.6926483949604907,0.06264839496049068,0.17378469998948276
(KNN)Top-1,AedesQuinx,100,731,3,0.63,0.6837060365391012,0.05370603653910122,0.21758920000866055
(KNN)Top-1,AedesQuinx,100,516,4,0.63,0.6672810456128704,0.03728104561287038,0.20822289999341592
