quantifier,dataset,inv_abs_error,run_time
DyS,BNG,0.991135455,0.05120676350004937
DyS,BNG_breast-w,0.991135455,0.052081010500050935
DyS,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.762178895,0.04769518549992422
DyS,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0.7840807599999999,0.048079621000051656
DyS,HTRU,0.98224767,0.04959306799990368
DyS,MagicTelescope,0.95230087,0.05076207650001375
DyS,abalone,0.963363925,0.046078426500016534
DyS,ailerons,0.97587848,0.047068927000063876
DyS,anuranCalls,0.98513341,0.04565648149996373
DyS,balloon,0.97127692,0.04463140150002796
DyS,bank8FM,0.98758344,0.046109114500022724
DyS,churn,0.955410945,0.04855386600005654
DyS,clean2,0.999009875,0.049874073000009914
DyS,click-prediction,0.8949433299999999,0.05338413950002173
DyS,cmc,0.933259875,0.04782339100001077
DyS,covtype_reduced,0.950499545,0.050053941000005535
DyS,cpu_act,0.981478965,0.04974713700005846
DyS,default_credit_card_clients,0.926471025,0.05171826200003119
DyS,delta_ailerons,0.981176505,0.048703953500007585
DyS,eeg,0.89233647,0.04945267849997431
DyS,electricity-normalized,0.95017884,0.05562145899999446
DyS,elevators,0.976025215,0.05116904950001294
DyS,file22f0e4a679,0.99175111,0.048269367500033654
DyS,file79b563a1a18,0.95910883,0.04936762700003777
DyS,file7b5365fa741c,0.966795495,0.04949558649995192
DyS,fri_c2_1000_10,0.94320833,0.047492031500041734
DyS,fried,0.9716649900000001,0.05458245899991193
DyS,gina_agnostic,0.965866315,0.0483248590001494
DyS,houses,0.99081499,0.05033847500006227
DyS,jm1-processed,0.914776255,0.04985066399993225
DyS,kdd_JapaneseVowels,0.986249135,0.049390359000171837
DyS,kin8nm,0.949109965,0.04927343350003862
DyS,letter-recognition,0.938132315,0.050522187999958945
DyS,magic,0.95230087,0.05082741900001561
DyS,mozilla,0.9636012100000001,0.0506385554997541
DyS,namao,0.98576201,0.049240206999838804
DyS,occupancy,0.99298743,0.04682030400012077
DyS,page-blocks,0.9744530299999999,0.04504995449991834
DyS,parity5_plus_5,0.799528145,0.044055115499886555
DyS,pendigits,0.99463908,0.04565959800012929
DyS,phoneme,0.954069485,0.04565391500007531
DyS,php50jXam,0.993953315,0.044136802000084525
DyS,phpGUrE90,0.964028185,0.04375412750016035
DyS,phpMD2hR6,0.97089937,0.05508457350004387
DyS,phpV5QYya,0.9818730449999999,0.04641309200003884
DyS,phpWfYmlu,0.9567530399999999,0.04598969399987249
DyS,phphQEck0,0.984562205,0.06747303599990113
DyS,phplE7q6h,0.898630525,0.04712598300000532
DyS,phpmPOD5A,0.698843525,0.0476734030000443
