Method,Dataset,MAE
BASELINE+TOP3+MEDIAN,329_hayes-roth,0.080425
BASELINE+TOP3+MEDIAN,333_monks-problems-1,0.0491
BASELINE+TOP3+MEDIAN,334_monks-problems-2,0.28825
BASELINE+TOP3+MEDIAN,335_monks-problems-3,0.00815
BASELINE+TOP3+MEDIAN,336_SPECT,0.2417
BASELINE+TOP3+MEDIAN,36_segment,0.0039499999999999
BASELINE+TOP3+MEDIAN,375_JapaneseVowels,0.0059499999999999
BASELINE+TOP3+MEDIAN,377_synthetic_control,0.0043
BASELINE+TOP3+MEDIAN,37_diabetes,0.0547999999999999
BASELINE+TOP3+MEDIAN,40474_thyroid-allbp,0.0285999999999999
BASELINE+TOP3+MEDIAN,40475_thyroid-allhyper,0.03365
BASELINE+TOP3+MEDIAN,40496_LED-display-domain-7digit,0.2123499999999999
BASELINE+TOP3+MEDIAN,40733_yeast,0.06655
BASELINE+TOP3+MEDIAN,40877_seeds,0.0194
BASELINE+TOP3+MEDIAN,40_sonar,0.0432249999999999
BASELINE+TOP3+MEDIAN,43_haberman,0.18955
BASELINE+TOP3+MEDIAN,44_spambase,0.0125
BASELINE+TOP3+MEDIAN,450_analcatdata_lawsuit,0.2356999999999999
BASELINE+TOP3+MEDIAN,4538_GesturePhaseSegmentationProcessed,0.0459
BASELINE+TOP3+MEDIAN,458_analcatdata_authorship,0.006
BASELINE+TOP3+MEDIAN,461_analcatdata_creditscore,0.0380999999999999
BASELINE+TOP3+MEDIAN,463_backache,0.4090749999999999
BASELINE+TOP3+MEDIAN,464_prnn_synth,0.0161499999999999
BASELINE+TOP3+MEDIAN,48_tae,0.27185
BASELINE+TOP3+MEDIAN,53_heart-statlog,0.11535
BASELINE+TOP3+MEDIAN,54_vehicle,0.0278999999999999
BASELINE+TOP3+MEDIAN,59_ionosphere,0.0443
BASELINE+TOP3+MEDIAN,60_waveform-5000,0.0096
