,ACC,CC,DyS,HDy,MAX,MS,PACC,PCC,SMM,SORD,X
default_credit_card_clients,1.042584985898208,0.8541580617438029,1.0802323919177166,1.0225164013250718,1.0771492393222248,1.0576446489515772,0.8140256378788632,0.9121616100156832,1.0826295169616642,1.083624019647337,1.0726271327111154
delta_ailerons,1.005755225189738,0.9876661841404413,1.0075609302497859,1.0042717104562067,1.0049957850290163,1.007354471072349,0.996853527231657,0.9678629336496156,1.0072457103192272,1.006821571602277,1.0050096919566598
eeg,1.0026834346546072,0.947580476782365,1.0801231286936306,1.0780569528420427,0.9886162092148639,1.0600877105017679,0.8205629638395457,0.9691909306101714,1.0671776819482184,1.0623632659988325,0.9833616886771642
electricity-normalized,1.0283362690925546,0.9340812354418118,1.0375374001206081,1.0244464558146373,1.0261432523836136,1.035786670483752,0.9210967386104363,0.9205157699271824,1.0356884356805365,1.03401889296928,1.0257877789944874
elevators,1.0146079346882655,0.9400318971897013,1.0226476150382928,1.0152582023175558,1.0140696873731516,1.021028640268676,0.9828209311743095,0.943609467614707,1.0209362255223722,1.0212409371101132,1.0128979139388903
file22f0e4a679,0.9999090498572482,0.9971985490353596,1.004392974971373,1.0050663170745255,1.00342491311262,1.0020037527585992,0.9985865692853727,0.9823254630058317,1.001887522975138,1.0021506170938497,1.00342491311262
file79b563a1a18,1.017194224304873,0.9440133017185814,1.0363175101307325,1.0348673472794787,1.0199095017351132,1.0278467800379525,0.9534487258102937,0.9218853480342611,1.0258928555798879,1.02882412139143,1.005730229706091
file7b5365fa741c,1.020284021518378,0.9138726229755643,1.0335897040594342,1.0067042266108643,1.0252200198154342,1.0284638567427224,1.0084239422650523,0.9045796239737124,1.0294350338788745,1.0297731073608687,1.020719021592781
fri_c2_1000_10,1.018937501573073,0.9468005114233551,1.039875569166925,1.049414504376914,0.9861067466005162,1.0252534465306913,0.9676041082427801,0.9122807747614846,1.0179528690264341,1.020226043870759,1.0330370045777706
fried,1.0114088615044856,0.9616504854528001,1.022036577429113,1.0118618090140112,1.0131797789321026,1.0188842188859095,0.9900846985413436,0.9307701167781989,1.0190909549631835,1.0185249105905165,1.0105160556516968
